Año(aaaa)-Mes(mm),Id Periodicidad,Tipo,Descripcion Nivel_1_español,Descripcion Nivel_2_español,Codigo Nivel_ 1,Codigo Nivel_ 2,Descripcion Nivel_3_español,Codigo Nivel_ 3,Valor,Version,Descripcion español
2020-09-30,3,MONETARIO,Depósitos Restringidos,,11,,,,0,Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,M1,,8,,,,"144404,09504819",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,M2<sup>1/</sup>,,9,,,,"549796,35158561",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,M3<sup>1/</sup>,,10,,,,"596945,90981412",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Total Depósitos <sup>2/</sup>,,13,,,,"517859,03604065",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Base monetaria,Efectivo,6,1,,,"83018,86891533",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Base monetaria,Reserva Bancaria,6,2,,,"29098,99854967",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Base monetaria,Total,6,3,,,"112117,867465",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Bonos en poder del Banco de la República,,13,,,,"284,203",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,CDT en poder el Banco de la República,,12,,,,"6709,3279",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Bonos <sup>1/</sup>,7,6,,,"31501,76425229",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,CDT <sup>1/</sup>,2,"171446,00864229",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,Cuentas de ahorro,1,"235247,47687803",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,TOTAL<sup>1/</sup>,3,"406693,48552032",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector privado,1,"48878,3825406",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector público,2,"12507,93699164",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Total,3,"61386,31953322",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cédulas,7,5,,,0,Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Depósitos fiduciarios,7,4,,,"8616,28517003",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Otros depósitos a la vista,7,3,,,"5841,51059856",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Total Depósitos en poder del público  <sup>1/</sup>,7,8,,,"514039,36507442",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con entidades no financieras,2,0,Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con la DGCPTN,1,0,Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Total,3,0,Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Depósitos Restringidos,,11,,,,0,Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,M1,,8,,,,"144405,18844855",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,M2<sup>1/</sup>,,9,,,,"551098,67396887",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,M3<sup>1/</sup>,,10,,,,"597058,23398975",Última,miles de millones de pesos colombianos
2020-08-31,3,MONETARIO,Total Depósitos <sup>2/</sup>,,13,,,,"521032,89597442",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Base monetaria,Efectivo,6,1,,,"82775,80767897",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Base monetaria,Reserva Bancaria,6,2,,,"29287,87744503",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Base monetaria,Total,6,3,,,"112063,685124",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Bonos en poder del Banco de la República,,13,,,,"285,603",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,CDT en poder el Banco de la República,,12,,,,"6883,8279",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Bonos <sup>1/</sup>,7,6,,,"31182,37067532",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,CDT <sup>1/</sup>,2,"173788,04248761",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,Cuentas de ahorro,1,"236963,42658879",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,TOTAL<sup>1/</sup>,3,"410751,4690764",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector privado,1,"48216,41304019",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector público,2,"11371,07312535",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Total,3,"59587,48616551",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cédulas,7,5,,,0,Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Depósitos fiduciarios,7,4,,,"7862,69103738",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Otros depósitos a la vista,7,3,,,"5470,40515613",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Total Depósitos en poder del público  <sup>1/</sup>,7,8,,,"514854,42211074",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con entidades no financieras,2,0,Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con la DGCPTN,1,0,Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Total,3,0,Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Depósitos Restringidos,,11,,,,0,Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,M1,,8,,,,"142363,29384448",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,M2<sup>1/</sup>,,9,,,,"553114,76292088",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,M3<sup>1/</sup>,,10,,,,"597630,22978971",Última,miles de millones de pesos colombianos
2020-07-31,3,MONETARIO,Total Depósitos <sup>2/</sup>,,13,,,,"522023,85301074",Última,miles de millones de pesos colombianos
2020-06-30,3,MONETARIO,Base monetaria,Efectivo,6,1,,,"80837,97775616",Última,miles de millones de pesos colombianos
2020-06-30,3,MONETARIO,Base monetaria,Reserva Bancaria,6,2,,,"30304,46397284",Última,miles de millones de pesos colombianos
2020-06-30,3,MONETARIO,Base monetaria,Total,6,3,,,"111142,441729",Última,miles de millones de pesos colombianos
2020-06-30,3,MONETARIO,Bonos en poder del Banco de la República,,13,,,,"320,103",Última,miles de millones de pesos colombianos
2020-06-30,3,MONETARIO,CDT en poder el Banco de la República,,12,,,,"7422,7239",Última,miles de millones de pesos colombianos
2020-06-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Bonos <sup>1/</sup>,7,6,,,"30852,16292933",Última,miles de millones de pesos colombianos
