Clasificación de la Entidad,Código de Clasificación de la Entidad,Cuenta,Clase de Cuenta,Código de Cuenta,Tipo de Cuenta,Año semana,Tasa,Formato Id,Monto,Orden,Total
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200448,"25,2895538989506",500,"190882,91638",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200449,"25,1705887129863",500,"132410,69146",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200450,"25,2243843209695",500,"183028,35561",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200451,"25,0343932179281",500,"171107,90203",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200452,"24,3766092339891",500,"155937,3262",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200501,"24,9518025634439",500,"92679,68108",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200502,"25,7935989615761",500,"88721,22994",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200503,"25,7638323477627",500,"124772,7529",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200504,"25,5259395575927",500,"152893,8661",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200505,"25,2122924780334",500,"144606,84325",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200506,"25,4867855845255",500,"147671,59491",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200507,"25,7508778010078",500,"168430,818",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200508,"25,4421910183085",500,"170686,26029",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200509,"24,9846322374377",500,"175551,48308",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200510,"24,9920619824033",500,"150571,50562",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200511,"24,8919609597075",500,"207832,73531",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200512,"24,8421239697554",500,"85681,89644",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200513,"25,1248933657082",500,"207881,92083",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200514,"24,6607985610461",500,"170799,64073",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200515,"24,8493543856761",500,"195073,77845",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200516,"25,0770008857919",500,"200281,06779",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200517,"24,8822932830685",500,"270614,0989",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200518,"25,1907317456831",500,"180921,82348",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200519,"24,6114257921636",500,"141981,52619",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200520,"24,7418119067393",500,"182224,74484",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200521,"24,5444511905675",500,"193975,89169",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200522,"24,5762896117515",500,"162846,27682",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200523,"24,1232169286617",500,"140338,29907",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200524,"24,4299123343979",500,"196068,91871",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200525,"24,2092364274802",500,"199272,09019",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200526,"24,4150897442216",500,"222083,72691",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200527,"23,8515543568539",500,"124725,56666",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200528,"23,9826186345155",500,"184885,91096",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200529,"24,0722178957503",500,"162420,38768",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200530,"24,2897698541926",500,"244296,45172",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200531,"23,7087778920943",500,"150950,62245",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200532,"23,8754055028144",500,"190978,84342",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200533,"24,0165323473648",500,"164898,79871",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200534,"23,8127699735768",500,"204244,69764",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200535,"23,911835420676",500,"213069,95622",999950,"12,8621447900894"
